INFO | 2024-01-10 20:30 -- Pokestop quest scan completed
ERROR | 2024-01-10 23:15 -- Devices not found: Tx9s2_JMBoy
ERROR | 2024-01-10 23:30 -- Devices not scanning: Tx9s
ERROR | 2024-01-10 23:35 -- Devices not scanning: Tx9s Tx9s2_JMBoy
ERROR | 2024-01-10 23:50 -- Devices not scanning: Tx9s2_JMBoy
INFO | 2024-01-11 00:00 -- Day change encountered, pokestop scanning initialized
INFO | 2024-01-11 00:00 -- Cleared previous quest data
INFO | 2024-01-11 00:00 -- Expired pokestops and gyms cleared sucessfully!
INFO | 2024-01-11 00:00 -- Truncated quests table sucessfully!
INFO | 2024-01-11 00:00 -- New PvP data generated
INFO | 2024-01-11 00:00 -- New last_scanned_date set to 2024-01-11 00:00:00
INFO | 2024-01-11 00:00 -- a95xF1 set to scan Marinha Grande
INFO | 2024-01-11 00:00 -- Enabled quest scanning mode
INFO | 2024-01-11 00:00 -- Pokestop quest scanning started
ERROR | 2024-01-11 00:05 -- Devices not scanning: Tx9s2_JMBoy
INFO | 2024-01-11 00:35 -- a95xF1 reverted to scan Leiria
ERROR | 2024-01-11 00:40 -- Devices not found: a95xF1, Tx9s2_JMBoy
ERROR | 2024-01-11 00:40 -- Devices not scanning: Tx9s2_JMBoy
INFO | 2024-01-11 00:40 -- a95xF1 reverted to scan Leiria
ERROR | 2024-01-11 00:45 -- Devices not found: Tx9s2_JMBoy
ERROR | 2024-01-11 00:45 -- Devices not scanning: Tx9s2_JMBoy
INFO | 2024-01-11 00:45 -- a95xF1 reverted to scan Leiria
INFO | 2024-01-11 00:45 -- Disabled quest scanning mode
INFO | 2024-01-11 00:45 -- Pokestop quest scan completed
ERROR | 2024-01-11 00:50 -- Devices not scanning: Tx9s2_JMBoy
ERROR | 2024-01-11 09:20 -- Devices not found: Tx9s2_JMBoy
ERROR | 2024-01-11 09:20 -- Devices not scanning: Tx9s2_JMBoy
ERROR | 2024-01-11 20:30 -- Devices not found: Tx9s2_JMBoy
ERROR | 2024-01-11 21:05 -- Devices not scanning: Tx9s2_JMBoy
INFO | 2024-01-12 00:00 -- Day change encountered, pokestop scanning initialized
INFO | 2024-01-12 00:00 -- Cleared previous quest data
INFO | 2024-01-12 00:00 -- Expired pokestops and gyms cleared sucessfully!
INFO | 2024-01-12 00:00 -- Truncated quests table sucessfully!
INFO | 2024-01-12 00:00 -- New PvP data generated
INFO | 2024-01-12 00:00 -- New last_scanned_date set to 2024-01-12 00:00:00
INFO | 2024-01-12 00:00 -- a95xF1 set to scan Marinha Grande
INFO | 2024-01-12 00:00 -- Enabled quest scanning mode
INFO | 2024-01-12 00:00 -- Pokestop quest scanning started
ERROR | 2024-01-12 00:05 -- Devices not found: Tx9s3_JMBoy
INFO | 2024-01-12 00:35 -- a95xF1 reverted to scan Leiria
ERROR | 2024-01-12 00:40 -- Devices not found: a95xF1
INFO | 2024-01-12 00:40 -- a95xF1 reverted to scan Leiria
INFO | 2024-01-12 02:30 -- Disabled quest scanning mode
INFO | 2024-01-12 02:30 -- Pokestop quest scan completed
ERROR | 2024-01-12 04:00 -- Devices not found: Tx9s, a95xF1, Tx9s1_JMBoy, Tx9s2_JMBoy, Tx9s3_JMBoy
ERROR | 2024-01-12 10:20 -- Devices not found: Tx9s1_JMBoy
ERROR | 2024-01-12 15:10 -- Devices not scanning: Tx9s
ERROR | 2024-01-12 15:25 -- Devices not scanning: Tx9s Tx9s2_JMBoy
ERROR | 2024-01-12 16:15 -- Devices not found: Tx9s
ERROR | 2024-01-12 16:15 -- Devices not scanning: Tx9s
ERROR | 2024-01-12 17:25 -- Devices not found: Tx9s2_JMBoy
ERROR | 2024-01-12 18:00 -- Devices not scanning: Tx9s2_JMBoy
ERROR | 2024-01-12 18:30 -- Devices not found: Tx9s2_JMBoy
ERROR | 2024-01-12 18:30 -- Devices not scanning: Tx9s2_JMBoy
ERROR | 2024-01-12 19:05 -- Devices not found: Tx9s2_JMBoy
ERROR | 2024-01-12 19:05 -- Devices not scanning: Tx9s2_JMBoy
ERROR | 2024-01-12 19:20 -- Devices not found: Tx9s2_JMBoy
ERROR | 2024-01-12 19:20 -- Devices not scanning: Tx9s2_JMBoy
ERROR | 2024-01-12 19:35 -- Devices not found: Tx9s2_JMBoy
ERROR | 2024-01-12 19:35 -- Devices not scanning: Tx9s2_JMBoy
ERROR | 2024-01-12 19:50 -- Devices not found: Tx9s2_JMBoy
ERROR | 2024-01-12 19:50 -- Devices not scanning: Tx9s2_JMBoy
ERROR | 2024-01-12 20:00 -- Devices not found: Tx9s2_JMBoy
ERROR | 2024-01-12 20:00 -- Devices not scanning: Tx9s2_JMBoy
ERROR | 2024-01-12 20:55 -- Devices not found: Tx9s2_JMBoy
ERROR | 2024-01-12 20:55 -- Devices not scanning: Tx9s2_JMBoy
ERROR | 2024-01-12 21:05 -- Devices not found: Tx9s2_JMBoy
ERROR | 2024-01-12 21:05 -- Devices not scanning: Tx9s2_JMBoy
ERROR | 2024-01-12 21:35 -- Devices not found: Tx9s2_JMBoy
ERROR | 2024-01-12 21:35 -- Devices not scanning: Tx9s2_JMBoy
ERROR | 2024-01-12 21:55 -- Devices not found: Tx9s2_JMBoy
ERROR | 2024-01-12 21:55 -- Devices not scanning: Tx9s2_JMBoy
INFO | 2024-01-13 00:00 -- Day change encountered, pokestop scanning initialized
INFO | 2024-01-13 00:00 -- Cleared previous quest data
INFO | 2024-01-13 00:00 -- Expired pokestops and gyms cleared sucessfully!
INFO | 2024-01-13 00:00 -- Truncated quests table sucessfully!
INFO | 2024-01-13 00:00 -- New PvP data generated
INFO | 2024-01-13 00:00 -- New last_scanned_date set to 2024-01-13 00:00:00
INFO | 2024-01-13 00:00 -- a95xF1 set to scan Marinha Grande
INFO | 2024-01-13 00:00 -- Enabled quest scanning mode
INFO | 2024-01-13 00:00 -- Pokestop quest scanning started
ERROR | 2024-01-13 00:25 -- Devices not found: Tx9s2_JMBoy
INFO | 2024-01-13 00:30 -- a95xF1 reverted to scan Leiria
ERROR | 2024-01-13 00:35 -- Devices not found: a95xF1
INFO | 2024-01-13 00:35 -- a95xF1 reverted to scan Leiria
ERROR | 2024-01-13 00:40 -- Devices not found: Tx9s3_JMBoy
INFO | 2024-01-13 00:40 -- a95xF1 reverted to scan Leiria
INFO | 2024-01-13 00:45 -- Disabled quest scanning mode
INFO | 2024-01-13 00:45 -- Pokestop quest scan completed
INFO | 2024-01-13 10:00 -- Rescan scheduled starting
INFO | 2024-01-13 10:00 -- Cleared previous quest data
INFO | 2024-01-13 10:00 -- Expired pokestops and gyms cleared sucessfully!
INFO | 2024-01-13 10:00 -- Truncated quests table sucessfully!
INFO | 2024-01-13 10:00 -- New PvP data generated
INFO | 2024-01-13 10:00 -- New last_scanned_date set to 2024-01-13 00:00:00
INFO | 2024-01-13 10:00 -- a95xF1 set to scan Marinha Grande
INFO | 2024-01-13 10:00 -- Enabled quest scanning mode
INFO | 2024-01-13 10:00 -- Scheduled rescan started successfully
ERROR | 2024-01-13 10:15 -- Devices not found: Tx9s
ERROR | 2024-01-13 10:30 -- Devices not found: Tx9s2_JMBoy
INFO | 2024-01-13 10:30 -- a95xF1 reverted to scan Leiria
ERROR | 2024-01-13 10:35 -- Devices not found: a95xF1
INFO | 2024-01-13 10:35 -- a95xF1 reverted to scan Leiria
INFO | 2024-01-13 10:55 -- Disabled quest scanning mode
INFO | 2024-01-13 10:55 -- Pokestop quest scan completed
ERROR | 2024-01-13 11:20 -- Devices not found: Tx9s, a95xF1, Tx9s1_JMBoy, Tx9s2_JMBoy, Tx9s3_JMBoy
ERROR | 2024-01-13 16:04 -- Devices not found: Tx9s2_JMBoy
ERROR | 2024-01-13 16:04 -- Devices not scanning: Tx9s2_JMBoy
ERROR | 2024-01-13 17:34 -- Devices not found: Tx9s
ERROR | 2024-01-13 18:39 -- Devices not found: Tx9s2_JMBoy
ERROR | 2024-01-13 19:24 -- Devices not scanning: Tx9s2_JMBoy
ERROR | 2024-01-13 20:04 -- Devices not found: Tx9s2_JMBoy
ERROR | 2024-01-13 20:04 -- Devices not scanning: Tx9s2_JMBoy
ERROR | 2024-01-13 20:14 -- Devices not found: Tx9s
ERROR | 2024-01-13 20:14 -- Devices not scanning: Tx9s2_JMBoy
ERROR | 2024-01-13 20:44 -- Devices not found: Tx9s2_JMBoy
ERROR | 2024-01-13 20:44 -- Devices not scanning: Tx9s2_JMBoy
ERROR | 2024-01-13 21:14 -- Devices not found: Tx9s, Tx9s2_JMBoy
ERROR | 2024-01-13 21:14 -- Devices not scanning: Tx9s2_JMBoy
ERROR | 2024-01-13 21:49 -- Devices not found: Tx9s2_JMBoy
ERROR | 2024-01-13 21:49 -- Devices not scanning: Tx9s2_JMBoy
ERROR | 2024-01-13 22:09 -- Devices not scanning: Tx9s Tx9s2_JMBoy
ERROR | 2024-01-13 22:19 -- Devices not scanning: Tx9s2_JMBoy
ERROR | 2024-01-13 23:09 -- Devices not found: Tx9s2_JMBoy
ERROR | 2024-01-13 23:09 -- Devices not scanning: Tx9s2_JMBoy
INFO | 2024-01-14 00:04 -- Day change encountered, pokestop scanning initialized
INFO | 2024-01-14 00:04 -- Cleared previous quest data
INFO | 2024-01-14 00:04 -- Expired pokestops and gyms cleared sucessfully!
INFO | 2024-01-14 00:04 -- Truncated quests table sucessfully!
INFO | 2024-01-14 00:04 -- New PvP data generated
INFO | 2024-01-14 00:04 -- New last_scanned_date set to 2024-01-14 00:00:00
INFO | 2024-01-14 00:04 -- a95xF1 set to scan Marinha Grande
INFO | 2024-01-14 00:04 -- Enabled quest scanning mode
INFO | 2024-01-14 00:04 -- Pokestop quest scanning started
ERROR | 2024-01-14 00:09 -- Devices not scanning: Tx9s2_JMBoy
INFO | 2024-01-14 00:34 -- a95xF1 reverted to scan Leiria
